Pixel,R,G,B
786,106,163,57
787,150,196,101
788,165,208,106
789,156,201,104
790,136,184,90
791,84,152,44
792,93,154,48
793,83,151,40
794,116,168,82
795,149,193,103
796,126,184,78
797,91,156,44
798,95,155,55
799,168,212,111
800,83,158,34
801,71,134,34
802,93,162,36
803,76,141,30
804,82,152,34
805,96,162,43
806,82,153,33
807,91,159,39
808,83,153,34
809,93,158,40
810,87,152,38
811,74,136,35
812,91,150,46
813,89,149,43
814,119,175,66
815,157,193,108
816,155,198,100
817,162,206,99
818,108,167,63
819,83,152,36
820,79,147,37
821,76,142,38
822,95,155,46
823,91,156,43
824,81,153,34
825,103,162,56
826,84,155,41
827,136,194,90
828,145,189,100
829,171,208,117
830,128,178,81
831,89,150,48
832,96,158,46
833,111,172,55
834,143,191,96
835,139,191,94
836,90,152,52
837,95,153,56
838,147,191,107
839,159,206,104
840,97,165,37
841,97,159,43
842,87,148,40
843,69,134,31
844,101,169,37
845,92,154,40
846,90,153,38
847,80,151,34
848,71,134,37
849,101,161,48
850,93,157,41
851,86,149,41
852,79,140,38
853,89,149,45
854,117,166,69
855,171,204,125
856,161,199,102
857,153,202,92
858,136,187,84
859,92,152,45
860,77,147,34
861,85,140,45
862,98,163,45
863,89,150,44
864,85,144,46
865,101,162,51
866,121,171,69
867,160,197,111
868,162,201,119
869,157,203,98
870,134,185,83
871,91,144,55
872,108,165,64
873,156,188,123
874,168,202,128
875,116,169,74
876,96,160,51
877,158,199,113
878,143,181,106
879,167,212,106
880,88,152,34
881,85,146,37
882,90,149,41
883,73,135,34
884,84,151,34
885,84,142,41
886,94,150,43
887,87,146,47
888,74,135,40
889,91,151,43
890,72,127,35
891,79,143,36
892,75,141,36
893,110,163,68
894,135,171,91
895,155,197,107
896,172,208,122
897,162,200,111
898,145,191,87
899,104,162,54
900,92,156,43
901,93,155,46
902,94,159,41
903,82,141,40
904,80,145,41
905,90,150,49
906,162,198,111
907,171,205,119
908,142,183,92
909,165,202,117
910,120,170,78
911,103,157,65
912,141,187,95
913,169,201,127
914,155,193,118
915,89,153,43
916,129,179,85
917,176,210,121
918,149,194,107
919,158,200,116
920,73,145,29
921,104,170,45
922,80,149,34
923,84,152,35
924,55,116,28
925,88,150,41
926,97,161,44
927,79,141,39
928,80,139,38
929,82,145,37
930,86,150,37
931,81,142,42
932,94,151,54
933,90,143,56
934,105,157,64
935,152,193,91
936,166,204,107
937,144,193,93
938,127,177,82
939,147,191,97
940,92,155,46
941,85,143,46
942,84,150,39
943,84,145,39
944,97,156,50
945,144,188,93
946,147,190,99
947,157,200,105
948,140,183,99
949,157,194,110
950,91,151,56
951,150,192,110
952,164,202,121
953,163,201,120
954,116,166,72
955,119,172,69
956,157,197,107
957,153,194,103
958,158,202,100
959,121,179,78
960,68,139,27
961,98,164,39
962,73,140,35
963,88,149,41
964,77,138,35
965,82,148,40
966,85,150,41
967,74,138,35
968,90,148,44
969,73,134,35
970,70,134,36
971,83,144,43
972,91,151,59
973,92,147,50
974,85,143,46
975,114,162,80
976,179,212,124
977,171,206,119
978,157,200,102
979,141,183,95
980,170,204,113
981,143,186,90
982,123,169,77
983,140,179,93
984,149,191,102
985,171,208,119
986,133,183,86
987,147,194,93
988,152,192,89
989,111,172,59
990,81,146,47
991,142,185,103
992,171,205,125
993,133,180,89
994,92,152,46
995,144,188,98
996,154,199,84
997,142,192,98
998,146,190,105
999,82,151,38
1000,69,132,31
1001,65,137,29
1002,62,126,31
1003,84,160,37
1004,94,155,43
1005,80,150,34
1006,67,123,35
1007,103,164,51
1008,69,133,32
1009,77,144,37
1010,92,152,47
1011,108,161,65
1012,105,160,54
1013,94,156,44
1014,89,151,45
1015,85,147,45
1016,111,164,68
1017,135,184,97
1018,149,192,98
1019,149,191,111
1020,174,205,118
1021,159,195,112
1022,170,200,122
1023,183,214,128
1024,124,181,77
1025,151,194,99
1026,132,183,84
1027,126,172,86
1028,93,157,52
1029,96,160,48
1030,149,190,102
1031,155,202,99
1032,164,201,121
1033,95,157,50
1034,108,170,52
1035,146,196,91
1036,146,199,99
1037,166,208,121
1038,121,178,74
1039,90,161,40
1040,96,169,39
1041,67,133,32
1042,83,148,37
1043,72,133,32
1044,87,161,38
1045,71,141,33
1046,97,159,46
1047,75,138,37
1048,91,152,43
1049,71,133,37
1050,88,153,41
1051,100,156,58
1052,81,152,36
1053,90,153,40
1054,80,140,36
1055,82,143,37
1056,84,143,44
1057,89,151,51
1058,159,203,99
1059,136,185,85
1060,154,191,108
1061,170,202,122
1062,149,194,98
1063,161,205,104
1064,137,183,95
1065,150,186,105
1066,158,196,108
1067,105,161,59
1068,88,146,46
1069,120,174,71
1070,162,199,113
1071,165,204,116
1072,101,163,57
1073,87,151,45
1074,121,177,73
1075,150,199,89
1076,140,184,104
1077,159,199,102
1078,79,146,41
1079,76,150,31
1080,77,148,30
1081,74,144,34
1082,70,135,36
1083,72,134,39
1084,90,162,36
1085,60,129,29
1086,76,137,41
1087,76,145,35
1088,98,160,45
1089,75,142,36
1090,80,148,39
1091,87,161,38
1092,100,170,51
1093,84,147,44
1094,90,150,43
1095,86,148,38
1096,73,137,35
1097,84,149,43
1098,85,149,42
1099,100,155,63
1100,144,189,93
1101,146,189,99
1102,172,206,125
1103,144,199,92
1104,110,165,69
1105,122,173,66
1106,92,152,45
1107,85,145,46
1108,94,153,53
1109,160,203,107
1110,168,204,109
1111,129,183,82
1112,95,162,45
1113,80,144,42
1114,147,191,96
1115,144,193,92
1116,137,193,91
1117,133,180,82
1118,75,152,31
1119,88,153,42
1120,76,152,28
1121,66,139,29
1122,72,142,33
1123,70,138,32
1124,84,145,42
1125,95,164,45
1126,94,161,43
1127,90,153,44
1128,91,151,50
1129,82,150,37
1130,79,147,35
1131,79,148,34
1132,72,131,38
1133,99,163,48
1134,96,158,40
1135,73,135,37
1136,68,132,36
1137,95,152,47
1138,81,144,38
1139,87,152,44
1140,73,134,40
1141,81,140,45
1142,101,165,49
1143,80,143,42
1144,76,144,36
1145,85,146,43
1146,93,154,51
1147,87,152,40
1148,134,182,86
1149,167,208,110
1150,139,184,105
1151,107,170,56
1152,85,148,40
1153,106,163,56
1154,143,185,96
1155,140,195,83
1156,129,186,82
1157,101,166,56
1158,87,154,40
1159,96,168,38
1160,78,145,33
1161,69,137,33
1162,74,145,30
1163,75,137,35
1164,81,148,36
1165,82,153,35
1166,71,131,38
1167,76,141,35
1168,80,153,35
1169,63,129,33
1170,80,143,39
1171,77,143,36
1172,85,144,44
1173,91,151,44
1174,89,158,37
1175,76,137,41
1176,94,152,51
1177,97,159,52
1178,75,143,34
1179,93,155,48
1180,78,138,42
1181,73,128,41
1182,82,143,40
1183,94,153,52
1184,93,148,48
1185,98,155,53
1186,91,153,46
1187,116,167,68
1188,171,209,115
1189,148,198,92
1190,110,171,63
1191,80,148,34
1192,94,158,48
1193,102,176,44
1194,142,197,86
1195,148,196,97
1196,146,197,98
1197,94,160,49
1198,83,156,36
1199,85,163,30
1200,64,136,28
1201,67,136,29
1202,72,138,31
1203,94,157,44
1204,71,139,31
1205,70,138,38
1206,93,157,47
1207,76,140,38
1208,79,138,35
